,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave_points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave_points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave_points_worst,symmetry_worst,fractal_dimension_worst
radius_mean,1.0,0.30688064395207537,0.9978504973669365,0.986608917291815,0.1730505087063901,0.47798630503348494,0.6473111303358626,0.8123768608701084,0.15038564467880197,-0.3355750766911,0.6669541811718153,-0.09218521043986136,0.6560713588921258,0.7194778912778241,-0.20074714579319547,0.1595684777807281,0.14781337224632346,0.3353347816079207,-0.09330576381882756,-0.07557541025220874,0.9691340489013297,0.2875895394550839,0.9635355006782285,0.9418493240555109,0.12192626883327493,0.38632519802870274,0.4968000366750827,0.7223088092985545,0.16809182875642278,-0.024337155788010843
texture_mean,0.30688064395207537,1.0,0.3131243103979881,0.30031354676222155,0.00947500623575147,0.22995431324742072,0.2821595734017254,0.2862305110200198,0.10804468267395047,-0.07900982283291513,0.24934693325112384,0.3555115197352877,0.2562704898895463,0.22975986523728145,0.011831896473173313,0.17956005923917367,0.12770817964916664,0.18087929036562064,0.0030949161122549754,0.03388624112149272,0.33290805239850835,0.909717722637522,0.3402260635302334,0.3186927204691899,0.09330132989112616,0.27400658133356637,0.2827711225438259,0.29970255912585475,0.12298432023518142,0.10286783563048002
perimeter_mean,0.9978504973669365,0.3131243103979881,1.0,0.9859851502385318,0.21009159500577845,0.5297205636824693,0.6882507633999199,0.842080956947216,0.18588462208772563,-0.28630744984877005,0.6807391476588761,-0.08112749723830838,0.6761920380645524,0.7299367963083218,-0.18074687008083046,0.20469985917360758,0.18193411287440567,0.368587100579409,-0.07406718290037642,-0.0390471609381072,0.969619731837458,0.294406131518947,0.9696743955740708,0.9432828152115929,0.1531696640966212,0.43042617677566347,0.5355601514209286,0.7514125548936613,0.19194816529235306,0.020730572356764305
area_mean,0.986608917291815,0.30031354676222155,0.9859851502385318,1.0,0.18070869976561854,0.4712963262119192,0.6597934382394985,0.8142731014942047,0.15267888624450882,-0.30532053598705405,0.7227280101689155,-0.05900088081402315,0.7107134328473326,0.7882165848788828,-0.14224658217515534,0.17030631863053697,0.1664285713276199,0.3347637930924133,-0.06151229144810047,-0.049309640996636026,0.9605194984327989,0.27486102952263813,0.9557008766121777,0.9597234576487891,0.12777170188756073,0.36406803550047495,0.4849492912934597,0.7004350761835738,0.1447521006176316,-0.026034973411715602
smoothness_mean,0.1730505087063901,0.00947500623575147,0.21009159500577845,0.18070869976561854,1.0,0.6723418478883958,0.5369197938066769,0.5645379470059244,0.5397439229701106,0.577170665190934,0.2981049364906298,0.07154983448535383,0.2919153867440731,0.24945168082840344,0.3115816204624851,0.3030956626362628,0.24693174621335004,0.37373126675965723,0.16683263408290455,0.26031967780318177,0.22328353846836854,0.07545215991720877,0.25165821946889005,0.2192647852855329,0.8082896485991976,0.49252684902866894,0.4587486772504619,0.5263872029979367,0.3852437290979816,0.521392330004077
compactness_mean,0.47798630503348494,0.22995431324742072,0.5297205636824693,0.4712963262119192,0.6723418478883958,1.0,0.8774674333025064,0.8259322648102007,0.6204834247376646,0.5696383229360009,0.48286709462196203,0.06521595420408913,0.5341192243902946,0.4354440652332015,0.1594153000579002,0.7244147747040791,0.5543623324753864,0.6495753682573783,0.22699873734988268,0.4931485212856892,0.514853971790573,0.24712709563447452,0.573715625928921,0.49318332683846233,0.5720207709679759,0.8677739978052018,0.8135657094287028,0.817321467537815,0.5064799720062951,0.6919603068609526
concavity_mean,0.6473111303358626,0.2821595734017254,0.6882507633999199,0.6597934382394985,0.5369197938066769,0.8774674333025064,1.0,0.9146711978212437,0.5190303545953255,0.3492797855355679,0.6155544015858789,0.09392249014451584,0.642794080082136,0.5974009827873591,0.12721942987353832,0.6556821567921093,0.6831959813844362,0.6801359243754662,0.1924122195888456,0.443497339275759,0.6650913072846614,0.28998626729353366,0.7103377951235228,0.6592594470229939,0.45762638120725896,0.7515156048065349,0.8840793233615066,0.8550872753954917,0.41632644252334655,0.519450952692896
concave_points_mean,0.8123768608701084,0.2862305110200198,0.842080956947216,0.8142731014942047,0.5645379470059244,0.8259322648102007,0.9146711978212437,1.0,0.4767347956398601,0.16018440335308048,0.6848332881821338,0.03177119578341954,0.6946574873598955,0.6751837128836597,0.04776966303725195,0.4584759710483191,0.4136009636056588,0.5960058022866569,0.10771188914997884,0.22850524104781073,0.8276947457037409,0.3003382584537607,0.855665589231425,0.8111020578448968,0.46762993541729675,0.6644154388254487,0.7480405226730655,0.9106801995198242,0.3911077262144857,0.36380362525796806
symmetry_mean,0.15038564467880197,0.10804468267395047,0.18588462208772563,0.15267888624450882,0.5397439229701106,0.6204834247376646,0.5190303545953255,0.4767347956398601,1.0,0.48267342662956414,0.2920706481631931,0.17650248587659836,0.3054399587190686,0.21761179395092337,0.16262904497938707,0.440439215068764,0.35150109963813425,0.4158835652819113,0.4327259400029928,0.341347128532273,0.19200447912412724,0.13886541554878903,0.229285402783995,0.18357559647657126,0.41685413958411344,0.508593286986879,0.46116345266513403,0.46467587850116904,0.6992506615749028,0.47687471122600666
fractal_dimension_mean,-0.3355750766911,-0.07900982283291513,-0.28630744984877005,-0.30532053598705405,0.577170665190934,0.5696383229360009,0.3492797855355679,0.16018440335308048,0.48267342662956414,1.0,-0.00828557711625649,0.1829545709267999,0.030466743531735868,-0.09631296567280644,0.3975143678608513,0.5638754981821092,0.46967116333900677,0.3712330130638164,0.32245081551301796,0.6853841468545754,-0.27185804628492566,-0.05324432743954089,-0.2214533027776647,-0.24620372557081255,0.4954910745472549,0.4677737381030888,0.3643797772105317,0.186255990519066,0.3177928674291035,0.7845366211470164
